chr,start,end,state,median,integer_median,integer_copy_number
14,105750001,106500000,5,1.9462399,3.7866410,4
14,106500001,107400000,3,1.1042521,2.1484538,2
15,1,58950000,3,1.0504552,2.0437854,2
15,58950001,60000000,4,1.5253092,2.9676702,3
15,60000001,62400000,3,1.0279506,2.0000000,2
15,62400001,63900000,4,1.6117143,3.1357817,3
15,63900001,73050000,3,1.0854531,2.1118779,2
15,73050001,102600000,2,0.5345295,1.0399907,1
16,1,5850000,2,0.5351928,1.0412811,1
16,5850001,6750000,7,2.9638554,5.7665329,6
16,6750001,8100000,3,1.0128873,1.9706926,2
16,8100001,8550000,4,1.5630226,3.0410463,3
16,8550001,15600000,7,3.0954634,6.0225919,6
16,15600001,16350000,4,1.3938952,2.7119888,3
16,16350001,16950000,2,0.5631673,1.0957089,1
16,16950001,90450000,3,1.0460865,2.0352856,2
17,1,40650000,2,0.5240079,1.0195196,1
17,40650001,47250000,3,1.0767168,2.0948806,2
17,47250001,79650000,4,1.5770511,3.0683402,3
17,79650001,81300000,3,1.1112340,2.1620378,2
18,1,7800000,2,0.5188884,1.0095591,1
18,7800001,20400000,3,1.0243143,1.9929252,2
18,20400001,21150000,4,1.6337653,3.1786846,3
18,21150001,22650000,3,1.0566179,2.0557758,2
18,22650001,55950000,2,0.5293771,1.0299661,1
18,55950001,78150000,5,2.0474001,3.9834602,4
19,1,59250000,3,1.0633701,2.0689129,2
20,1,13650000,2,0.5270403,1.0254194,1
20,13650001,14250000,3,1.0172919,1.9792623,2
20,14250001,24750000,2,0.5289120,1.0290612,1
20,24750001,37200000,3,1.1144402,2.1682758,2
20,37200001,50400000,2,0.5616329,1.0927235,1
20,50400001,63150000,3,1.0745648,2.0906935,2
21,1,38850000,3,1.0228363,1.9900495,2
21,38850001,48150000,2,0.5376295,1.0460220,1
22,1,51450000,3,1.0834855,2.1080499,2
X,1,155400000,3,0.9652453,1.8779994,2
Y,1,59400000,1,0.0000000,0.0000000,0
